2025-04-25 00:02:55.202 | INFO     | core.lifespan:lifespan:101 - === 应用启动 ===
2025-04-25 00:02:55.203 | INFO     | core.lifespan:lifespan:102 - 应用名称: FastAPI应用 v1.0.0
2025-04-25 00:02:55.203 | INFO     | core.lifespan:log_system_info:71 - 系统信息: Windows 11 (10.0.22631)
2025-04-25 00:02:55.204 | INFO     | core.lifespan:log_system_info:72 - Python版本: 3.12.4 (tags/v3.12.4:8e8a4ba, Jun  6 2024, 19:30:16) [MSC v.1940 64 bit (AMD64)]
2025-04-25 00:02:55.205 | INFO     | core.lifespan:log_system_info:73 - 运行环境: development
2025-04-25 00:02:55.206 | INFO     | core.lifespan:log_system_info:74 - 调试模式: 启用
2025-04-25 00:02:55.212 | INFO     | core.lifespan:lifespan:112 - API路由注册成功
2025-04-25 00:02:55.214 | INFO     | database.pgsql:init_db:20 - 成功导入User模型: <class 'model.user.User'>
2025-04-25 00:02:55.215 | INFO     | database.pgsql:init_db:23 - 找到Tortoise ORM模型类: [<class 'model.user.User'>, <class 'model.user.test'>]
2025-04-25 00:02:55.215 | INFO     | database.pgsql:init_db:35 - Tortoise配置: {'connections': {'default': {'engine': 'tortoise.backends.asyncpg', 'credentials': {'host': 'localhost', 'port': 5432, 'user': 'root', 'password': '******', 'database': 'postgres'}}}, 'apps': {'models': {'models': ['model', 'aerich.models'], 'default_connection': 'default'}}, 'use_tz': False, 'timezone': 'Asia/Shanghai'}
2025-04-25 00:02:55.216 | INFO     | database.pgsql:init_db:38 - 使用register_tortoise初始化数据库连接...
2025-04-25 00:02:55.216 | INFO     | database.pgsql:init_db:46 - 数据库初始化成功
2025-04-25 00:02:55.216 | INFO     | core.lifespan:lifespan:118 - 数据库连接初始化成功
2025-04-25 00:02:55.217 | INFO     | core.lifespan:lifespan:126 - 所有资源初始化完成
2025-04-25 00:02:55.217 | INFO     | core.lifespan:lifespan:127 - === 应用启动完成 ===
2025-04-25 00:03:00.481 | INFO     | main:log_requests:49 - 开始请求: GET /api/internal/users/get_user_info/2
2025-04-25 00:03:00.587 | INFO     | main:log_requests:56 - 完成请求: GET /api/internal/users/get_user_info/2 - 状态码: 200 - 处理时间: 106.17ms
2025-04-25 00:03:08.971 | INFO     | main:log_requests:49 - 开始请求: PUT /api/internal/users/update_user/2
2025-04-25 00:03:08.988 | INFO     | main:log_requests:56 - 完成请求: PUT /api/internal/users/update_user/2 - 状态码: 422 - 处理时间: 17.00ms
2025-04-25 00:05:03.616 | INFO     | main:log_requests:49 - 开始请求: GET /api/internal/users/get_user_list
2025-04-25 00:05:03.638 | INFO     | main:log_requests:56 - 完成请求: GET /api/internal/users/get_user_list - 状态码: 200 - 处理时间: 22.62ms
2025-04-25 00:05:37.726 | INFO     | core.lifespan:lifespan:132 - === 应用正在关闭 ===
2025-04-25 00:05:37.732 | INFO     | database.pgsql:close_db:62 - 数据库连接已关闭
2025-04-25 00:05:37.733 | INFO     | core.lifespan:lifespan:137 - 数据库连接已关闭
